strategy,student_type,success,total_steps,final_mastery,reached_mastery_step,remediation_count,unnecessary_remediations,final_accuracy
AB1_Baseline,Careless,1,32,0.8057,32,0,0,0.375
AB1_Baseline,Careless,1,17,0.8082,17,0,0,0.5882
AB1_Baseline,Careless,1,7,0.8055,7,0,0,1.0
AB1_Baseline,Careless,1,16,0.8046,16,0,0,0.5
AB1_Baseline,Careless,1,23,0.8158,23,0,0,0.4783
AB1_Baseline,Careless,1,20,0.8184,20,0,0,0.45
AB1_Baseline,Careless,1,13,0.8009,13,0,0,0.5385
AB1_Baseline,Careless,1,17,0.802,17,0,0,0.4706
AB1_Baseline,Careless,1,7,0.8098,7,0,0,0.8571
AB1_Baseline,Careless,1,20,0.8062,20,0,0,0.6
AB1_Baseline,Careless,1,17,0.802,17,0,0,0.7059
AB1_Baseline,Careless,1,22,0.805,22,0,0,0.5
AB1_Baseline,Careless,1,17,0.8011,17,0,0,0.5294
AB1_Baseline,Careless,1,12,0.8071,12,0,0,0.5833
AB1_Baseline,Careless,1,21,0.8037,21,0,0,0.5238
AB1_Baseline,Careless,1,25,0.806,25,0,0,0.44
AB1_Baseline,Careless,1,16,0.8025,16,0,0,0.4375
AB1_Baseline,Careless,1,35,0.8158,35,0,0,0.4286
AB1_Baseline,Careless,1,17,0.8091,17,0,0,0.5882
AB1_Baseline,Careless,1,31,0.8101,31,0,0,0.4516
AB1_Baseline,Careless,1,21,0.8059,21,0,0,0.4762
AB1_Baseline,Careless,0,40,0.7717,,0,0,0.4
AB1_Baseline,Careless,1,13,0.8254,13,0,0,0.6154
AB1_Baseline,Careless,1,10,0.8002,10,0,0,0.8
AB1_Baseline,Careless,1,25,0.8054,25,0,0,0.48
AB1_Baseline,Careless,1,21,0.8062,21,0,0,0.4286
AB1_Baseline,Careless,1,27,0.8038,27,0,0,0.4815
AB1_Baseline,Careless,1,16,0.8019,16,0,0,0.6875
AB1_Baseline,Careless,1,9,0.8015,9,0,0,0.7778
AB1_Baseline,Careless,1,12,0.8029,12,0,0,0.75
AB1_Baseline,Careless,1,35,0.8005,35,0,0,0.4
AB1_Baseline,Careless,1,26,0.8129,26,0,0,0.5
AB1_Baseline,Careless,1,10,0.812,10,0,0,0.7
AB1_Baseline,Careless,1,21,0.8097,21,0,0,0.4762
AB1_Baseline,Careless,1,10,0.8004,10,0,0,0.6
AB1_Baseline,Careless,1,10,0.8002,10,0,0,0.6
AB1_Baseline,Careless,1,11,0.8089,11,0,0,0.6364
AB1_Baseline,Careless,1,16,0.8035,16,0,0,0.625
AB1_Baseline,Careless,1,16,0.8011,16,0,0,0.5625
AB1_Baseline,Careless,1,20,0.8105,20,0,0,0.55
AB1_Baseline,Careless,1,10,0.8076,10,0,0,0.7
AB1_Baseline,Careless,1,15,0.8036,15,0,0,0.5333
AB1_Baseline,Careless,1,11,0.8104,11,0,0,0.9091
AB1_Baseline,Careless,1,16,0.8049,16,0,0,0.5625
AB1_Baseline,Careless,1,34,0.8055,34,0,0,0.4412
AB1_Baseline,Careless,1,20,0.8081,20,0,0,0.5
AB1_Baseline,Careless,1,7,0.8098,7,0,0,1.0
AB1_Baseline,Careless,1,20,0.8134,20,0,0,0.5
AB1_Baseline,Careless,1,30,0.8112,30,0,0,0.4333
AB1_Baseline,Careless,1,32,0.8057,32,0,0,0.4688
AB1_Baseline,Careless,1,24,0.8085,24,0,0,0.4583
AB1_Baseline,Careless,1,16,0.8059,16,0,0,0.625
AB1_Baseline,Careless,1,6,0.8144,6,0,0,0.8333
AB1_Baseline,Careless,1,16,0.8075,16,0,0,0.5625
AB1_Baseline,Careless,1,16,0.8,16,0,0,0.6875
AB1_Baseline,Careless,1,11,0.8093,11,0,0,0.6364
AB1_Baseline,Careless,1,12,0.8067,12,0,0,0.5833
AB1_Baseline,Careless,1,26,0.8006,26,0,0,0.5
AB1_Baseline,Careless,1,7,0.8019,7,0,0,0.8571
AB1_Baseline,Careless,1,17,0.8014,17,0,0,0.6471
AB1_Baseline,Careless,1,22,0.8136,22,0,0,0.5909
AB1_Baseline,Careless,0,40,0.7579,,0,0,0.325
AB1_Baseline,Careless,1,20,0.8052,20,0,0,0.6
AB1_Baseline,Careless,1,10,0.8036,10,0,0,0.6
AB1_Baseline,Careless,1,27,0.8015,27,0,0,0.4074
AB1_Baseline,Careless,1,26,0.8072,26,0,0,0.4231
AB1_Baseline,Careless,0,40,0.7893,,0,0,0.425
AB1_Baseline,Careless,1,10,0.8141,10,0,0,0.8
AB1_Baseline,Careless,1,7,0.8032,7,0,0,0.7143
AB1_Baseline,Careless,1,14,0.8072,14,0,0,0.7143
AB1_Baseline,Careless,1,21,0.8104,21,0,0,0.5238
AB1_Baseline,Careless,1,10,0.809,10,0,0,0.8
AB1_Baseline,Careless,1,11,0.8051,11,0,0,0.6364
AB1_Baseline,Careless,1,11,0.8014,11,0,0,0.8182
AB1_Baseline,Careless,1,34,0.811,34,0,0,0.4706
AB1_Baseline,Careless,1,12,0.8063,12,0,0,0.5
AB1_Baseline,Careless,1,21,0.8059,21,0,0,0.5238
AB1_Baseline,Careless,1,11,0.801,11,0,0,0.6364
AB1_Baseline,Careless,1,32,0.8048,32,0,0,0.4688
AB1_Baseline,Careless,1,12,0.8034,12,0,0,0.75
AB1_Baseline,Careless,1,16,0.8038,16,0,0,0.5625
AB1_Baseline,Careless,1,30,0.8157,30,0,0,0.4333
AB1_Baseline,Careless,1,25,0.8001,25,0,0,0.52
AB1_Baseline,Careless,1,18,0.8008,18,0,0,0.5
AB1_Baseline,Careless,1,21,0.8071,21,0,0,0.5238
AB1_Baseline,Careless,1,22,0.8128,22,0,0,0.5909
AB1_Baseline,Careless,1,14,0.8076,14,0,0,0.6429
AB1_Baseline,Careless,1,5,0.8016,5,0,0,1.0
AB1_Baseline,Careless,1,15,0.8027,15,0,0,0.4667
AB1_Baseline,Careless,1,17,0.8053,17,0,0,0.7647
AB1_Baseline,Careless,1,37,0.8027,37,0,0,0.5676
AB1_Baseline,Careless,1,14,0.8003,14,0,0,0.7143
AB1_Baseline,Careless,1,5,0.8014,5,0,0,1.0
AB1_Baseline,Careless,1,26,0.8183,26,0,0,0.4615
AB1_Baseline,Careless,1,17,0.8035,17,0,0,0.4706
AB1_Baseline,Careless,1,17,0.8,17,0,0,0.5882
AB1_Baseline,Careless,1,25,0.8166,25,0,0,0.48
AB1_Baseline,Careless,1,6,0.8031,6,0,0,0.8333
AB1_Baseline,Careless,1,27,0.8097,27,0,0,0.4815
AB1_Baseline,Careless,1,22,0.8074,22,0,0,0.5909
AB1_Baseline,Weak,0,40,0.4627,,0,0,0.625
AB1_Baseline,Weak,0,40,0.4003,,0,0,0.525
AB1_Baseline,Weak,0,40,0.4441,,0,0,0.525
AB1_Baseline,Weak,0,40,0.3795,,0,0,0.3
AB1_Baseline,Weak,0,40,0.4913,,0,0,0.425
AB1_Baseline,Weak,0,40,0.6757,,0,0,0.725
AB1_Baseline,Weak,0,40,0.6028,,0,0,0.6
AB1_Baseline,Weak,0,40,0.3286,,0,0,0.325
AB1_Baseline,Weak,0,40,0.6115,,0,0,0.775
AB1_Baseline,Weak,0,40,0.5926,,0,0,0.6
AB1_Baseline,Weak,0,40,0.6143,,0,0,0.6
AB1_Baseline,Weak,0,40,0.4799,,0,0,0.55
AB1_Baseline,Weak,0,40,0.5028,,0,0,0.425
AB1_Baseline,Weak,0,40,0.3262,,0,0,0.25
AB1_Baseline,Weak,0,40,0.4157,,0,0,0.325
AB1_Baseline,Weak,0,40,0.4785,,0,0,0.475
AB1_Baseline,Weak,0,40,0.4282,,0,0,0.45
AB1_Baseline,Weak,0,40,0.5222,,0,0,0.55
AB1_Baseline,Weak,0,40,0.6045,,0,0,0.625
AB1_Baseline,Weak,0,40,0.3696,,0,0,0.375
AB1_Baseline,Weak,0,40,0.2066,,0,0,0.15
AB1_Baseline,Weak,0,40,0.4036,,0,0,0.45
AB1_Baseline,Weak,0,40,0.505,,0,0,0.45
AB1_Baseline,Weak,0,40,0.4886,,0,0,0.5
AB1_Baseline,Weak,0,40,0.5363,,0,0,0.55
