studentId,problemId,skill,correct
1,88,jh_數學1上_CommonDivisibilityRules,0
1,83,jh_數學1上_CommonDivisibilityRules,1
1,86,jh_數學1上_CommonDivisibilityRules,0
1,92,jh_數學1上_CommonDivisibilityRules,0
1,84,jh_數學1上_CommonDivisibilityRules,0
1,90,jh_數學1上_CommonDivisibilityRules,0
1,85,jh_數學1上_CommonDivisibilityRules,1
1,90,jh_數學1上_CommonDivisibilityRules,0
1,91,jh_數學1上_CommonDivisibilityRules,0
1,56,jh_數學1上_FourArithmeticOperationsOfIntegers,1
1,60,jh_數學1上_FourArithmeticOperationsOfIntegers,0
1,62,jh_數學1上_FourArithmeticOperationsOfIntegers,1
1,60,jh_數學1上_FourArithmeticOperationsOfIntegers,1
1,53,jh_數學1上_FourArithmeticOperationsOfIntegers,0
1,60,jh_數學1上_FourArithmeticOperationsOfIntegers,0
1,60,jh_數學1上_FourArithmeticOperationsOfIntegers,0
1,62,jh_數學1上_FourArithmeticOperationsOfIntegers,0
1,63,jh_數學1上_FourArithmeticOperationsOfIntegers,0
1,59,jh_數學1上_FourArithmeticOperationsOfIntegers,0
1,19,jh_數學1上_IntegerAdditionOperation,1
1,22,jh_數學1上_IntegerAdditionOperation,0
1,19,jh_數學1上_IntegerAdditionOperation,1
1,20,jh_數學1上_IntegerAdditionOperation,0
1,25,jh_數學1上_IntegerAdditionOperation,0
1,25,jh_數學1上_IntegerAdditionOperation,1
1,245,jh_數學1下_DrawingGraphsOfTwoVariableLinearEquations,0
1,247,jh_數學1下_DrawingGraphsOfTwoVariableLinearEquations,0
1,256,jh_數學1下_DrawingGraphsOfTwoVariableLinearEquations,0
1,255,jh_數學1下_DrawingGraphsOfTwoVariableLinearEquations,0
1,255,jh_數學1下_DrawingGraphsOfTwoVariableLinearEquations,0
1,249,jh_數學1下_DrawingGraphsOfTwoVariableLinearEquations,0
1,255,jh_數學1下_DrawingGraphsOfTwoVariableLinearEquations,0
1,251,jh_數學1下_DrawingGraphsOfTwoVariableLinearEquations,0
1,254,jh_數學1下_DrawingGraphsOfTwoVariableLinearEquations,0
1,232,jh_數學1下_RectangularCoordinatePlaneAndCoordinateRepresentation,1
1,236,jh_數學1下_RectangularCoordinatePlaneAndCoordinateRepresentation,0
