studentId,problemId,skill,correct
1,53,jh_數學1上_FourArithmeticOperationsOfIntegers,1
1,62,jh_數學1上_FourArithmeticOperationsOfIntegers,0
1,28,jh_數學1上_IntegerAdditionOperation,0
1,52,jh_數學1上_FourArithmeticOperationsOfIntegers,1
1,90,jh_數學1上_CommonDivisibilityRules,1
1,60,jh_數學1上_FourArithmeticOperationsOfIntegers,1
1,83,jh_數學1上_CommonDivisibilityRules,1
1,53,jh_數學1上_FourArithmeticOperationsOfIntegers,1
1,83,jh_數學1上_CommonDivisibilityRules,0
1,18,jh_數學1上_IntegerAdditionOperation,1
1,27,jh_數學1上_IntegerAdditionOperation,0
1,58,jh_數學1上_FourArithmeticOperationsOfIntegers,0
1,19,jh_數學1上_IntegerAdditionOperation,1
1,25,jh_數學1上_IntegerAdditionOperation,0
1,85,jh_數學1上_CommonDivisibilityRules,1
1,60,jh_數學1上_FourArithmeticOperationsOfIntegers,1
1,25,jh_數學1上_IntegerAdditionOperation,1
1,24,jh_數學1上_IntegerAdditionOperation,0
1,52,jh_數學1上_FourArithmeticOperationsOfIntegers,1
1,53,jh_數學1上_FourArithmeticOperationsOfIntegers,1
1,23,jh_數學1上_IntegerAdditionOperation,1
1,91,jh_數學1上_CommonDivisibilityRules,0
1,26,jh_數學1上_IntegerAdditionOperation,1
2,87,jh_數學1上_CommonDivisibilityRules,0
2,23,jh_數學1上_IntegerAdditionOperation,1
2,53,jh_數學1上_FourArithmeticOperationsOfIntegers,1
2,87,jh_數學1上_CommonDivisibilityRules,0
2,85,jh_數學1上_CommonDivisibilityRules,0
2,59,jh_數學1上_FourArithmeticOperationsOfIntegers,1
2,59,jh_數學1上_FourArithmeticOperationsOfIntegers,0
2,91,jh_數學1上_CommonDivisibilityRules,1
2,92,jh_數學1上_CommonDivisibilityRules,1
2,22,jh_數學1上_IntegerAdditionOperation,0
2,24,jh_數學1上_IntegerAdditionOperation,1
2,89,jh_數學1上_CommonDivisibilityRules,1
2,63,jh_數學1上_FourArithmeticOperationsOfIntegers,1
2,62,jh_數學1上_FourArithmeticOperationsOfIntegers,0
2,19,jh_數學1上_IntegerAdditionOperation,1
2,23,jh_數學1上_IntegerAdditionOperation,1
2,84,jh_數學1上_CommonDivisibilityRules,1
2,56,jh_數學1上_FourArithmeticOperationsOfIntegers,1
2,55,jh_數學1上_FourArithmeticOperationsOfIntegers,1
2,52,jh_數學1上_FourArithmeticOperationsOfIntegers,1
2,59,jh_數學1上_FourArithmeticOperationsOfIntegers,1
2,21,jh_數學1上_IntegerAdditionOperation,0
2,28,jh_數學1上_IntegerAdditionOperation,0
2,28,jh_數學1上_IntegerAdditionOperation,1
2,53,jh_數學1上_FourArithmeticOperationsOfIntegers,0
2,91,jh_數學1上_CommonDivisibilityRules,1
2,86,jh_數學1上_CommonDivisibilityRules,0
2,62,jh_數學1上_FourArithmeticOperationsOfIntegers,1
2,87,jh_數學1上_CommonDivisibilityRules,0
2,54,jh_數學1上_FourArithmeticOperationsOfIntegers,1
2,92,jh_數學1上_CommonDivisibilityRules,0
2,247,jh_數學1下_DrawingGraphsOfTwoVariableLinearEquations,1
2,227,jh_數學1下_RectangularCoordinatePlaneAndCoordinateRepresentation,0
2,237,jh_數學1下_RectangularCoordinatePlaneAndCoordinateRepresentation,1
2,90,jh_數學1上_CommonDivisibilityRules,0
2,20,jh_數學1上_IntegerAdditionOperation,0
2,237,jh_數學1下_RectangularCoordinatePlaneAndCoordinateRepresentation,0
2,253,jh_數學1下_DrawingGraphsOfTwoVariableLinearEquations,1
2,237,jh_數學1下_RectangularCoordinatePlaneAndCoordinateRepresentation,1
2,234,jh_數學1下_RectangularCoordinatePlaneAndCoordinateRepresentation,1
2,249,jh_數學1下_DrawingGraphsOfTwoVariableLinearEquations,1
2,226,jh_數學1下_RectangularCoordinatePlaneAndCoordinateRepresentation,1
2,227,jh_數學1下_RectangularCoordinatePlaneAndCoordinateRepresentation,1
2,236,jh_數學1下_RectangularCoordinatePlaneAndCoordinateRepresentation,0
2,60,jh_數學1上_FourArithmeticOperationsOfIntegers,1
2,391,jh_數學2上_BasicPropertiesOfRadicalOperations,1
2,367,jh_數學2上_PolynomialDivision,1
2,226,jh_數學1下_RectangularCoordinatePlaneAndCoordinateRepresentation,1
2,493,jh_數學2上_WordProblems,0
2,409,jh_數學2上_FourOperationsOfRadicals,0
2,405,jh_數學2上_FourOperationsOfRadicals,1
2,347,jh_數學2上_PolynomialAdditionAndSubtraction,0
2,397,jh_數學2上_BasicPropertiesOfRadicalOperations,0
2,371,jh_數學2上_PolynomialDivision,0
2,374,jh_數學2上_PolynomialDivision,1
2,369,jh_數學2上_PolynomialDivision,0
2,353,jh_數學2上_PolynomialAdditionAndSubtraction,1
2,409,jh_數學2上_FourOperationsOfRadicals,0
2,403,jh_數學2上_BasicPropertiesOfRadicalOperations,0
2,371,jh_數學2上_PolynomialDivision,0
2,346,jh_數學2上_PolynomialAdditionAndSubtraction,1
2,500,jh_數學2上_WordProblems,0
2,406,jh_數學2上_FourOperationsOfRadicals,0
2,397,jh_數學2上_BasicPropertiesOfRadicalOperations,1
2,59,jh_數學1上_FourArithmeticOperationsOfIntegers,1
2,367,jh_數學2上_PolynomialDivision,0
3,53,jh_數學1上_FourArithmeticOperationsOfIntegers,0
3,20,jh_數學1上_IntegerAdditionOperation,1
3,19,jh_數學1上_IntegerAdditionOperation,0
3,27,jh_數學1上_IntegerAdditionOperation,0
3,27,jh_數學1上_IntegerAdditionOperation,1
3,22,jh_數學1上_IntegerAdditionOperation,0
3,57,jh_數學1上_FourArithmeticOperationsOfIntegers,0
3,26,jh_數學1上_IntegerAdditionOperation,0
3,91,jh_數學1上_CommonDivisibilityRules,0
3,87,jh_數學1上_CommonDivisibilityRules,1
3,89,jh_數學1上_CommonDivisibilityRules,1
3,23,jh_數學1上_IntegerAdditionOperation,1
3,63,jh_數學1上_FourArithmeticOperationsOfIntegers,0
3,18,jh_數學1上_IntegerAdditionOperation,1
3,87,jh_數學1上_CommonDivisibilityRules,1
3,83,jh_數學1上_CommonDivisibilityRules,0
3,23,jh_數學1上_IntegerAdditionOperation,1
3,53,jh_數學1上_FourArithmeticOperationsOfIntegers,1
3,52,jh_數學1上_FourArithmeticOperationsOfIntegers,1
3,87,jh_數學1上_CommonDivisibilityRules,1
3,55,jh_數學1上_FourArithmeticOperationsOfIntegers,0
3,19,jh_數學1上_IntegerAdditionOperation,1
3,25,jh_數學1上_IntegerAdditionOperation,0
3,55,jh_數學1上_FourArithmeticOperationsOfIntegers,1
3,61,jh_數學1上_FourArithmeticOperationsOfIntegers,0
3,83,jh_數學1上_CommonDivisibilityRules,0
3,56,jh_數學1上_FourArithmeticOperationsOfIntegers,0
3,89,jh_數學1上_CommonDivisibilityRules,0
3,53,jh_數學1上_FourArithmeticOperationsOfIntegers,1
3,25,jh_數學1上_IntegerAdditionOperation,0
3,86,jh_數學1上_CommonDivisibilityRules,0
